时间戳,物理块,磨损圈数/读取次数,平均纯编程(μs),平均读耗时(μs),总线写带宽(MB/s),总线读带宽(MB/s),最大物理错数,健康分析
23:28:31,Block 72,10,815.7,3384.1,4.48,4.84,246,极佳 🟢
23:28:31,Block 73,10,815.7,3384.1,4.48,4.84,242,极佳 🟢
23:30:03,Block 72,20,815.7,3384.1,4.48,4.84,235,极佳 🟢
23:30:03,Block 73,20,815.7,3384.1,4.48,4.84,237,极佳 🟢
23:31:35,Block 72,30,815.7,3384.1,4.48,4.84,231,极佳 🟢
23:31:35,Block 73,30,815.7,3384.1,4.48,4.84,270,极佳 🟢
23:33:08,Block 72,40,815.1,3384.1,4.48,4.84,229,极佳 🟢
23:33:08,Block 73,40,815.1,3384.1,4.48,4.84,269,极佳 🟢
23:34:40,Block 72,50,815.4,3384.1,4.48,4.84,231,极佳 🟢
23:34:40,Block 73,50,815.4,3384.1,4.48,4.84,248,极佳 🟢
23:36:12,Block 72,60,815.0,3384.1,4.48,4.84,253,极佳 🟢
23:36:12,Block 73,60,815.0,3384.1,4.48,4.84,241,极佳 🟢
23:37:45,Block 72,70,815.5,3384.1,4.48,4.84,234,极佳 🟢
23:37:45,Block 73,70,815.5,3384.1,4.48,4.84,253,极佳 🟢
23:39:17,Block 72,80,815.3,3384.1,4.48,4.84,225,极佳 🟢
23:39:17,Block 73,80,815.3,3384.1,4.48,4.84,259,极佳 🟢
23:40:49,Block 72,90,815.3,3384.1,4.48,4.84,223,极佳 🟢
23:40:49,Block 73,90,815.3,3384.1,4.48,4.84,242,极佳 🟢
23:42:21,Block 72,100,815.4,3384.1,4.48,4.84,224,极佳 🟢
23:42:21,Block 73,100,815.4,3384.1,4.48,4.84,243,极佳 🟢
23:43:54,Block 72,110,814.7,3384.1,4.48,4.84,221,极佳 🟢
23:43:54,Block 73,110,814.7,3384.1,4.48,4.84,235,极佳 🟢
23:45:26,Block 72,120,815.1,3384.1,4.48,4.84,249,极佳 🟢
23:45:26,Block 73,120,815.1,3384.1,4.48,4.84,263,极佳 🟢
23:46:58,Block 72,130,815.3,3384.1,4.48,4.84,216,极佳 🟢
23:46:58,Block 73,130,815.3,3384.1,4.48,4.84,257,极佳 🟢
23:48:30,Block 72,140,815.0,3384.1,4.48,4.84,218,极佳 🟢
23:48:30,Block 73,140,815.0,3384.1,4.48,4.84,256,极佳 🟢
23:50:03,Block 72,150,815.1,3384.1,4.48,4.84,230,极佳 🟢
