时间戳,物理块,磨损圈数,平均纯编程(μs),平均读耗时(μs),总线写带宽(MB/s),总线读带宽(MB/s),最大物理错数,健康分析
20:31:36,Block 140,620 圈,4296.6,3384.4,4.49,4.84,1203,衰退 🟡
20:31:36,Block 141,620 圈,4296.6,3384.4,4.49,4.84,1347,衰退 🟡
20:34:33,Block 140,640 圈,4296.8,3384.4,4.49,4.84,1269,衰退 🟡
20:34:33,Block 141,640 圈,4296.8,3384.4,4.49,4.84,1339,衰退 🟡
20:37:29,Block 140,660 圈,4296.6,3384.4,4.49,4.84,1219,衰退 🟡
20:37:29,Block 141,660 圈,4296.6,3384.4,4.49,4.84,1327,衰退 🟡
20:40:25,Block 140,680 圈,4296.6,3384.4,4.49,4.84,1237,衰退 🟡
20:40:25,Block 141,680 圈,4296.6,3384.4,4.49,4.84,1338,衰退 🟡
20:43:22,Block 140,700 圈,4296.6,3384.4,4.49,4.84,1238,衰退 🟡
20:43:22,Block 141,700 圈,4296.6,3384.4,4.49,4.84,1307,衰退 🟡
20:46:18,Block 140,720 圈,4296.6,3384.4,4.49,4.84,1178,衰退 🟡
20:46:18,Block 141,720 圈,4296.6,3384.4,4.49,4.84,1327,衰退 🟡
20:49:14,Block 140,740 圈,4296.6,3384.4,4.49,4.84,1189,衰退 🟡
20:49:14,Block 141,740 圈,4296.6,3384.4,4.49,4.84,1339,衰退 🟡
20:52:11,Block 140,760 圈,4296.8,3384.4,4.49,4.84,1189,衰退 🟡
20:52:11,Block 141,760 圈,4296.8,3384.4,4.49,4.84,1340,衰退 🟡
20:55:07,Block 140,780 圈,4296.6,3384.4,4.49,4.84,1226,衰退 🟡
20:55:07,Block 141,780 圈,4296.6,3384.4,4.49,4.84,1393,衰退 🟡
20:58:04,Block 140,800 圈,4296.5,3384.4,4.49,4.84,1202,衰退 🟡
20:58:04,Block 141,800 圈,4296.5,3384.4,4.49,4.84,1371,衰退 🟡
21:01:00,Block 140,820 圈,4296.6,3384.4,4.49,4.84,1210,衰退 🟡
21:01:00,Block 141,820 圈,4296.6,3384.4,4.49,4.84,1310,衰退 🟡
21:03:56,Block 140,840 圈,4296.6,3384.4,4.49,4.84,1219,衰退 🟡
21:03:56,Block 141,840 圈,4296.6,3384.4,4.49,4.84,1363,衰退 🟡
21:06:53,Block 140,860 圈,4296.6,3384.4,4.49,4.84,1203,衰退 🟡
21:06:53,Block 141,860 圈,4296.6,3384.4,4.49,4.84,1327,衰退 🟡
21:09:49,Block 140,880 圈,4296.6,3384.4,4.49,4.84,1232,衰退 🟡
21:09:49,Block 141,880 圈,4296.6,3384.4,4.49,4.84,1326,衰退 🟡
21:12:45,Block 140,900 圈,4296.6,3384.4,4.49,4.84,1218,衰退 🟡
21:12:45,Block 141,900 圈,4296.6,3384.4,4.49,4.84,1341,衰退 🟡
21:15:42,Block 140,920 圈,4296.6,3384.4,4.49,4.84,1243,衰退 🟡
21:15:42,Block 141,920 圈,4296.6,3384.4,4.49,4.84,1323,衰退 🟡
21:18:38,Block 140,940 圈,4296.5,3384.4,4.49,4.84,1247,衰退 🟡
21:18:38,Block 141,940 圈,4296.5,3384.4,4.49,4.84,1331,衰退 🟡
21:21:34,Block 140,960 圈,4296.6,3384.4,4.49,4.84,1215,衰退 🟡
21:21:34,Block 141,960 圈,4296.6,3384.4,4.49,4.84,1370,衰退 🟡
21:24:31,Block 140,980 圈,4296.6,3384.4,4.49,4.84,1240,衰退 🟡
21:24:31,Block 141,980 圈,4296.6,3384.4,4.49,4.84,1361,衰退 🟡
21:27:27,Block 140,1000 圈,4296.6,3384.4,4.49,4.84,1223,衰退 🟡
21:27:27,Block 141,1000 圈,4296.6,3384.4,4.49,4.84,1330,衰退 🟡
21:30:24,Block 140,1020 圈,4296.6,3384.4,4.49,4.84,1219,衰退 🟡
21:30:24,Block 141,1020 圈,4296.6,3384.4,4.49,4.84,1397,衰退 🟡
21:33:20,Block 140,1040 圈,4296.7,3384.4,4.49,4.84,1225,衰退 🟡
21:33:20,Block 141,1040 圈,4296.7,3384.4,4.49,4.84,1377,衰退 🟡
21:36:16,Block 140,1060 圈,4296.6,3384.4,4.49,4.84,1214,衰退 🟡
21:36:16,Block 141,1060 圈,4296.6,3384.4,4.49,4.84,1324,衰退 🟡
21:39:13,Block 140,1080 圈,4296.5,3384.4,4.49,4.84,1246,衰退 🟡
21:39:13,Block 141,1080 圈,4296.5,3384.4,4.49,4.84,1341,衰退 🟡
21:42:09,Block 140,1100 圈,4296.5,3384.4,4.49,4.84,1255,衰退 🟡
21:42:09,Block 141,1100 圈,4296.5,3384.4,4.49,4.84,1415,衰退 🟡
21:45:05,Block 140,1120 圈,4296.5,3384.4,4.49,4.84,1228,衰退 🟡
21:45:05,Block 141,1120 圈,4296.5,3384.4,4.49,4.84,1382,衰退 🟡
21:48:02,Block 140,1140 圈,4296.6,3384.4,4.49,4.84,1269,衰退 🟡
21:48:02,Block 141,1140 圈,4296.6,3384.4,4.49,4.84,1351,衰退 🟡
21:50:58,Block 140,1160 圈,4296.5,3384.4,4.49,4.84,1257,衰退 🟡
21:50:58,Block 141,1160 圈,4296.5,3384.4,4.49,4.84,1350,衰退 🟡
21:53:55,Block 140,1180 圈,4296.7,3384.4,4.49,4.84,1242,衰退 🟡
21:53:55,Block 141,1180 圈,4296.7,3384.4,4.49,4.84,1382,衰退 🟡
21:56:51,Block 140,1200 圈,4296.5,3384.4,4.49,4.84,1283,衰退 🟡
21:56:51,Block 141,1200 圈,4296.5,3384.4,4.49,4.84,1375,衰退 🟡
21:59:47,Block 140,1220 圈,4296.7,3384.4,4.49,4.84,1252,衰退 🟡
21:59:47,Block 141,1220 圈,4296.7,3384.4,4.49,4.84,1407,衰退 🟡
22:02:44,Block 140,1240 圈,4296.6,3384.4,4.49,4.84,1219,衰退 🟡
22:02:44,Block 141,1240 圈,4296.6,3384.4,4.49,4.84,1382,衰退 🟡
22:05:40,Block 140,1260 圈,4296.4,3384.4,4.49,4.84,1263,衰退 🟡
22:05:40,Block 141,1260 圈,4296.4,3384.4,4.49,4.84,1378,衰退 🟡
22:08:36,Block 140,1280 圈,4296.4,3384.4,4.49,4.84,1235,衰退 🟡
22:08:36,Block 141,1280 圈,4296.4,3384.4,4.49,4.84,1395,衰退 🟡
22:11:33,Block 140,1300 圈,4296.4,3384.4,4.49,4.84,1250,衰退 🟡
22:11:33,Block 141,1300 圈,4296.4,3384.4,4.49,4.84,1344,衰退 🟡
22:14:29,Block 140,1320 圈,4296.4,3384.4,4.49,4.84,1246,衰退 🟡
22:14:29,Block 141,1320 圈,4296.4,3384.4,4.49,4.84,1373,衰退 🟡
22:17:25,Block 140,1340 圈,4296.4,3384.4,4.49,4.84,1230,衰退 🟡
22:17:25,Block 141,1340 圈,4296.4,3384.4,4.49,4.84,1364,衰退 🟡
22:20:22,Block 140,1360 圈,4296.3,3384.4,4.49,4.84,1250,衰退 🟡
22:20:22,Block 141,1360 圈,4296.3,3384.4,4.49,4.84,1345,衰退 🟡
22:23:18,Block 140,1380 圈,4296.7,3384.4,4.49,4.84,1295,衰退 🟡
22:23:18,Block 141,1380 圈,4296.7,3384.4,4.49,4.84,1418,衰退 🟡
22:26:14,Block 140,1400 圈,4296.4,3384.4,4.49,4.84,1234,衰退 🟡
22:26:14,Block 141,1400 圈,4296.4,3384.4,4.49,4.84,1374,衰退 🟡
22:29:11,Block 140,1420 圈,4296.3,3384.4,4.49,4.84,1287,衰退 🟡
22:29:11,Block 141,1420 圈,4296.3,3384.4,4.49,4.84,1375,衰退 🟡
22:32:07,Block 140,1440 圈,4296.4,3384.4,4.49,4.84,1253,衰退 🟡
22:32:07,Block 141,1440 圈,4296.4,3384.4,4.49,4.84,1410,衰退 🟡
22:35:04,Block 140,1460 圈,4296.3,3384.4,4.49,4.84,1264,衰退 🟡
22:35:04,Block 141,1460 圈,4296.3,3384.4,4.49,4.84,1384,衰退 🟡
22:38:00,Block 140,1480 圈,4296.5,3384.4,4.49,4.84,1304,衰退 🟡
