时间戳,物理块,磨损圈数/读取次数,平均纯编程(μs),平均读耗时(μs),总线写带宽(MB/s),总线读带宽(MB/s),最大物理错数,健康分析
10:27:01,Block 70,10,841.1,3384.2,4.46,4.84,473,衰退 🟡
10:27:01,Block 71,10,841.1,3384.2,4.46,4.84,564,衰退 🟡
10:28:34,Block 70,20,840.8,3384.2,4.46,4.84,452,衰退 🟡
10:28:34,Block 71,20,840.8,3384.2,4.46,4.84,527,衰退 🟡
10:30:06,Block 70,30,840.6,3384.2,4.46,4.84,467,衰退 🟡
10:30:06,Block 71,30,840.6,3384.2,4.46,4.84,560,衰退 🟡
10:31:39,Block 70,40,840.5,3384.2,4.46,4.84,494,衰退 🟡
10:31:39,Block 71,40,840.5,3384.2,4.46,4.84,560,衰退 🟡
10:33:12,Block 70,50,840.2,3384.2,4.46,4.84,487,衰退 🟡
10:33:12,Block 71,50,840.2,3384.2,4.46,4.84,589,衰退 🟡
10:34:44,Block 70,60,840.0,3384.2,4.46,4.84,478,衰退 🟡
10:34:44,Block 71,60,840.0,3384.2,4.46,4.84,552,衰退 🟡
10:36:17,Block 70,70,839.8,3384.2,4.46,4.84,475,衰退 🟡
10:36:17,Block 71,70,839.8,3384.2,4.46,4.84,568,衰退 🟡
10:37:49,Block 70,80,839.6,3384.2,4.46,4.84,443,衰退 🟡
10:37:49,Block 71,80,839.6,3384.2,4.46,4.84,545,衰退 🟡
10:39:22,Block 70,90,839.9,3384.2,4.46,4.84,541,衰退 🟡
10:39:22,Block 71,90,839.9,3384.2,4.46,4.84,569,衰退 🟡
10:40:54,Block 70,100,840.1,3384.2,4.46,4.84,461,衰退 🟡
10:40:54,Block 71,100,840.1,3384.2,4.46,4.84,520,衰退 🟡
10:42:27,Block 70,110,839.8,3384.2,4.46,4.84,529,衰退 🟡
10:42:27,Block 71,110,839.8,3384.2,4.46,4.84,541,衰退 🟡
10:43:59,Block 70,120,839.4,3384.2,4.46,4.84,495,衰退 🟡
10:43:59,Block 71,120,839.4,3384.2,4.46,4.84,507,衰退 🟡
10:45:32,Block 70,130,839.5,3384.2,4.46,4.84,455,衰退 🟡
10:45:32,Block 71,130,839.5,3384.2,4.46,4.84,499,衰退 🟡
10:47:04,Block 70,140,839.2,3384.2,4.46,4.84,461,衰退 🟡
10:47:04,Block 71,140,839.2,3384.2,4.46,4.84,558,衰退 🟡
10:48:37,Block 70,150,839.3,3384.2,4.46,4.84,457,衰退 🟡
10:48:37,Block 71,150,839.3,3384.2,4.46,4.84,517,衰退 🟡
10:50:10,Block 70,160,838.4,3384.2,4.47,4.84,448,衰退 🟡
10:50:10,Block 71,160,838.4,3384.2,4.47,4.84,480,衰退 🟡
10:51:42,Block 70,170,838.5,3384.2,4.47,4.84,460,衰退 🟡
10:51:42,Block 71,170,838.5,3384.2,4.47,4.84,505,衰退 🟡
10:53:15,Block 70,180,838.8,3384.2,4.47,4.84,443,衰退 🟡
10:53:15,Block 71,180,838.8,3384.2,4.47,4.84,497,衰退 🟡
10:54:47,Block 70,190,838.7,3384.2,4.47,4.84,450,衰退 🟡
10:54:47,Block 71,190,838.7,3384.2,4.47,4.84,497,衰退 🟡
10:56:20,Block 70,200,838.5,3384.2,4.47,4.84,429,衰退 🟡
10:56:20,Block 71,200,838.5,3384.2,4.47,4.84,492,衰退 🟡
10:57:52,Block 70,210,838.0,3384.1,4.47,4.84,418,衰退 🟡
10:57:52,Block 71,210,838.0,3384.2,4.47,4.84,478,衰退 🟡
10:59:25,Block 70,220,837.9,3384.2,4.47,4.84,450,衰退 🟡
10:59:25,Block 71,220,837.9,3384.2,4.47,4.84,483,衰退 🟡
11:00:57,Block 70,230,837.9,3384.1,4.47,4.84,478,衰退 🟡
