时间戳,物理块,磨损圈数/读取次数,平均纯编程(μs),平均读耗时(μs),总线写带宽(MB/s),总线读带宽(MB/s),最大物理错数,健康分析
16:58:36,Block 80,5,795.7,3384.3,4.49,4.84,1265,衰退 🟡
16:58:36,Block 81,5,795.7,3384.4,4.49,4.84,1446,衰退 🟡
16:59:26,Block 80,10,795.4,3384.3,4.49,4.84,1335,衰退 🟡
16:59:26,Block 81,10,795.4,3384.4,4.49,4.84,1489,衰退 🟡
17:00:16,Block 80,15,796.5,3384.3,4.49,4.84,1414,衰退 🟡
17:00:16,Block 81,15,796.5,3384.4,4.49,4.84,1505,全毁 🔴
17:01:06,Block 80,20,795.4,3384.3,4.49,4.84,1358,衰退 🟡
17:01:06,Block 81,20,795.4,3384.4,4.49,4.84,1518,全毁 🔴
17:06:13,Block 80,40,795.7,3384.3,4.49,4.84,1357,衰退 🟡
17:06:13,Block 81,40,795.7,3384.3,4.49,4.84,1581,全毁 🔴
17:09:09,Block 80,60,796.3,3384.3,4.49,4.84,1442,衰退 🟡
17:09:09,Block 81,60,796.3,3384.3,4.49,4.84,1465,衰退 🟡
17:12:06,Block 80,80,796.4,3384.3,4.49,4.84,1479,衰退 🟡
17:12:06,Block 81,80,796.4,3384.3,4.49,4.84,1474,衰退 🟡
17:15:02,Block 80,100,796.6,3384.3,4.49,4.84,1505,全毁 🔴
17:15:02,Block 81,100,796.6,3384.3,4.49,4.84,1621,全毁 🔴
17:17:58,Block 80,120,795.8,3384.3,4.49,4.84,1452,衰退 🟡
17:17:58,Block 81,120,795.8,3384.3,4.49,4.84,1545,全毁 🔴
17:20:55,Block 80,140,796.3,3384.3,4.49,4.84,1407,衰退 🟡
17:20:55,Block 81,140,796.3,3384.3,4.49,4.84,1723,全毁 🔴
17:23:51,Block 80,160,796.4,3384.3,4.49,4.84,1480,衰退 🟡
17:23:51,Block 81,160,796.4,3384.3,4.49,4.84,1540,全毁 🔴
17:26:47,Block 80,180,796.4,3384.3,4.49,4.84,1518,全毁 🔴
17:26:47,Block 81,180,796.4,3384.3,4.49,4.84,1555,全毁 🔴
17:29:43,Block 80,200,796.3,3384.3,4.49,4.84,1495,衰退 🟡
17:29:43,Block 81,200,796.3,3384.3,4.49,4.84,1556,全毁 🔴
17:32:40,Block 80,220,796.4,3384.3,4.49,4.84,1588,全毁 🔴
17:32:40,Block 81,220,796.4,3384.3,4.49,4.84,1689,全毁 🔴
17:35:36,Block 80,240,796.5,3384.3,4.49,4.84,1600,全毁 🔴
17:35:36,Block 81,240,796.5,3384.3,4.49,4.84,1677,全毁 🔴
17:38:32,Block 80,260,796.6,3384.3,4.49,4.84,1541,全毁 🔴
17:38:32,Block 81,260,796.6,3384.3,4.49,4.84,1577,全毁 🔴
17:41:29,Block 80,280,796.4,3384.3,4.49,4.84,1551,全毁 🔴
17:41:29,Block 81,280,796.4,3384.3,4.49,4.84,1686,全毁 🔴
