时间戳,物理块,磨损圈数/读取次数,平均纯编程(μs),平均读耗时(μs),总线写带宽(MB/s),总线读带宽(MB/s),最大物理错数,健康分析
00:00:54,Block 60,10,759.7,3384.0,4.51,4.84,65,极佳 🟢
00:00:54,Block 61,10,759.7,3384.0,4.51,4.84,66,极佳 🟢
00:02:25,Block 60,20,759.0,3384.0,4.51,4.84,73,极佳 🟢
00:02:25,Block 61,20,759.0,3384.0,4.51,4.84,68,极佳 🟢
00:03:57,Block 60,30,758.7,3384.0,4.51,4.84,81,极佳 🟢
00:03:57,Block 61,30,758.7,3384.0,4.51,4.84,63,极佳 🟢
00:05:29,Block 60,40,758.1,3384.0,4.51,4.84,74,极佳 🟢
00:05:29,Block 61,40,758.1,3384.0,4.51,4.84,56,极佳 🟢
00:07:00,Block 60,50,757.9,3384.0,4.51,4.84,50,极佳 🟢
00:07:00,Block 61,50,757.9,3384.0,4.51,4.84,51,极佳 🟢
00:08:32,Block 60,60,756.7,3384.0,4.52,4.84,49,极佳 🟢
00:08:32,Block 61,60,756.7,3384.0,4.52,4.84,44,极佳 🟢
00:10:03,Block 60,70,756.3,3384.0,4.52,4.84,46,极佳 🟢
00:10:03,Block 61,70,756.3,3384.0,4.52,4.84,66,极佳 🟢
00:11:35,Block 60,80,756.2,3384.0,4.52,4.84,53,极佳 🟢
00:11:35,Block 61,80,756.2,3384.0,4.52,4.84,50,极佳 🟢
00:13:06,Block 60,90,755.7,3384.0,4.52,4.84,53,极佳 🟢
00:13:07,Block 61,90,755.7,3384.0,4.52,4.84,50,极佳 🟢
00:14:38,Block 60,100,755.6,3384.0,4.52,4.84,46,极佳 🟢
00:14:38,Block 61,100,755.6,3384.0,4.52,4.84,45,极佳 🟢
00:16:10,Block 60,110,754.9,3384.0,4.52,4.84,51,极佳 🟢
00:16:10,Block 61,110,754.9,3384.0,4.52,4.84,62,极佳 🟢
00:17:41,Block 60,120,754.8,3384.0,4.52,4.84,58,极佳 🟢
00:17:41,Block 61,120,754.8,3384.0,4.52,4.84,45,极佳 🟢
00:19:13,Block 60,130,755.0,3384.0,4.52,4.84,58,极佳 🟢
00:19:13,Block 61,130,755.0,3384.0,4.52,4.84,52,极佳 🟢
00:20:44,Block 60,140,754.5,3384.0,4.52,4.84,59,极佳 🟢
00:20:44,Block 61,140,754.5,3384.0,4.52,4.84,54,极佳 🟢
00:22:16,Block 60,150,753.9,3384.0,4.52,4.84,47,极佳 🟢
00:22:16,Block 61,150,753.9,3384.0,4.52,4.84,47,极佳 🟢
00:23:47,Block 60,160,753.1,3384.0,4.52,4.84,57,极佳 🟢
00:23:47,Block 61,160,753.1,3384.0,4.52,4.84,51,极佳 🟢
00:25:19,Block 60,170,753.2,3384.0,4.52,4.84,51,极佳 🟢
00:25:19,Block 61,170,753.2,3384.0,4.52,4.84,44,极佳 🟢
00:26:51,Block 60,180,753.2,3384.0,4.52,4.84,50,极佳 🟢
00:26:51,Block 61,180,753.2,3384.0,4.52,4.84,44,极佳 🟢
00:28:22,Block 60,190,753.2,3384.0,4.52,4.84,47,极佳 🟢
00:28:22,Block 61,190,753.2,3384.0,4.52,4.84,55,极佳 🟢
00:29:54,Block 60,200,753.2,3384.0,4.52,4.84,52,极佳 🟢
00:29:54,Block 61,200,753.2,3384.0,4.52,4.84,49,极佳 🟢
00:31:25,Block 60,210,752.7,3384.0,4.52,4.84,46,极佳 🟢
00:31:25,Block 61,210,752.7,3384.0,4.52,4.84,51,极佳 🟢
00:32:57,Block 60,220,752.7,3384.0,4.52,4.84,61,极佳 🟢
00:32:57,Block 61,220,752.7,3384.0,4.52,4.84,54,极佳 🟢
00:34:28,Block 60,230,752.5,3384.0,4.52,4.84,53,极佳 🟢
00:34:28,Block 61,230,752.5,3384.0,4.52,4.84,49,极佳 🟢
00:36:00,Block 60,240,752.2,3384.0,4.52,4.84,47,极佳 🟢
00:36:00,Block 61,240,752.2,3384.0,4.52,4.84,45,极佳 🟢
00:37:31,Block 60,250,752.0,3384.0,4.52,4.84,51,极佳 🟢
00:37:31,Block 61,250,752.0,3384.0,4.52,4.84,49,极佳 🟢
00:39:03,Block 60,260,751.8,3384.0,4.52,4.84,48,极佳 🟢
00:39:03,Block 61,260,751.8,3384.0,4.52,4.84,51,极佳 🟢
00:40:34,Block 60,270,751.7,3384.0,4.52,4.84,48,极佳 🟢
00:40:34,Block 61,270,751.7,3384.0,4.52,4.84,59,极佳 🟢
00:42:06,Block 60,280,751.1,3384.0,4.52,4.84,51,极佳 🟢
00:42:06,Block 61,280,751.1,3384.0,4.52,4.84,44,极佳 🟢
00:43:38,Block 60,290,751.5,3384.0,4.52,4.84,49,极佳 🟢
00:43:38,Block 61,290,751.5,3384.0,4.52,4.84,44,极佳 🟢
00:45:09,Block 60,300,751.6,3384.0,4.52,4.84,55,极佳 🟢
00:45:09,Block 61,300,751.6,3384.0,4.52,4.84,61,极佳 🟢
00:46:41,Block 60,310,750.5,3384.0,4.52,4.84,52,极佳 🟢
00:46:41,Block 61,310,750.5,3384.0,4.52,4.84,41,极佳 🟢
00:48:12,Block 60,320,751.7,3384.0,4.52,4.84,48,极佳 🟢
00:48:12,Block 61,320,751.7,3384.0,4.52,4.84,53,极佳 🟢
00:49:44,Block 60,330,750.8,3384.0,4.52,4.84,56,极佳 🟢
00:49:44,Block 61,330,750.8,3384.0,4.52,4.84,53,极佳 🟢
00:51:15,Block 60,340,750.3,3384.0,4.52,4.84,53,极佳 🟢
00:51:15,Block 61,340,750.3,3384.0,4.52,4.84,45,极佳 🟢
00:52:47,Block 60,350,750.6,3384.0,4.52,4.84,55,极佳 🟢
00:52:47,Block 61,350,750.6,3384.0,4.52,4.84,50,极佳 🟢
00:54:18,Block 60,360,750.6,3384.0,4.52,4.84,57,极佳 🟢
00:54:18,Block 61,360,750.6,3384.0,4.52,4.84,44,极佳 🟢
00:55:50,Block 60,370,750.5,3384.0,4.52,4.84,49,极佳 🟢
00:55:50,Block 61,370,750.5,3384.0,4.52,4.84,49,极佳 🟢
00:57:21,Block 60,380,750.2,3384.0,4.52,4.84,44,极佳 🟢
